127.0.0.1 - - [08/Oct/2014:13:47:46 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:47:48 +0530] "GET /ALM-ReleaseManagement/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:47:48 +0530] "GET /ALM-ReleaseManagement/releasemanagement/homepage HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:47:48 +0530] "GET /ALM-ReleaseManagement/app/css/menu.css HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:47:48 +0530] "GET /ALM-ReleaseManagement/app/css/style.css HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:47:48 +0530] "GET /ALM-ReleaseManagement/app/js/app.js HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:47:48 +0530] "GET /ALM-ReleaseManagement/app/js/validator.js HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:47:48 +0530] "GET /ALM-ReleaseManagement/app/js/controllers.js HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:47:48 +0530] "GET /ALM-ReleaseManagement/app/js/menu.js HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:17 +0530] "GET /ALM-ReleaseManagement/releasemanagement/homepage HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:17 +0530] "GET /ALM-ReleaseManagement/app/css/menu.css HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:17 +0530] "GET /ALM-ReleaseManagement/app/js/menu.js HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:17 +0530] "GET /ALM-ReleaseManagement/app/css/style.css HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:17 +0530] "GET /ALM-ReleaseManagement/app/js/app.js HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:17 +0530] "GET /ALM-ReleaseManagement/app/js/controllers.js HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:17 +0530] "GET /ALM-ReleaseManagement/app/js/validator.js HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:18 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:18 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:48:22 +0530] "GET /ALM-ReleaseManagement/app/partials/newrelease.html HTTP/1.1" 200 5511
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:51:19 +0530] "GET /ALM-ReleaseManagement/app/partials/searchrelease.html HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:51:20 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:51:20 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:51:20 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:51:20 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:51:20 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:51:20 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:52:15 +0530] "GET /ALM-ReleaseManagement/releasemanagement/newreleasesubmit?ReleaseTitle=hdbfvdhghfd&ReleaseDescription=edhfgdshfgdhsfgfdhgfhdgsf&ReleaseStartDate=10%2F08%2F2014&ReleasePlannedDate=10%2F08%2F2014&ReleaseReleaseDate=10%2F08%2F2014&ReleaseType=Major&ReleaseTo=Dev+Test&ReleaseItems=ghdxcfcgds&ReleaseStatus=Planned&ReleaseManager=Dev+PM&ReleaseVersion=gsxcdhg HTTP/1.1" 500 9628
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:52:32 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:52:33 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
0:0:0:0:0:0:0:1 - - [08/Oct/2014:13:52:33 +0530] "GET /ALM-ReleaseManagement/releasemanagement/searchrelease HTTP/1.1" 500 10704
