127.0.0.1 - - [12/Dec/2014:14:41:18 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:19 +0530] "GET /ALM-ReleaseManagement/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:19 +0530] "GET /ALM-ReleaseManagement/releasemanagement/homepage HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:19 +0530] "GET /ALM-ReleaseManagement/app/css/menu.css HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:19 +0530] "GET /ALM-ReleaseManagement/app/css/style.css HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:19 +0530] "GET /ALM-ReleaseManagement/app/js/menu.js HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:19 +0530] "GET /ALM-ReleaseManagement/app/js/app.js HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:19 +0530] "GET /ALM-ReleaseManagement/app/js/validator.js HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:19 +0530] "GET /ALM-ReleaseManagement/app/js/controllers.js HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:44 +0530] "GET /ALM-ReleaseManagement/releasemanagement/homepage HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:44 +0530] "GET /ALM-ReleaseManagement/app/css/menu.css HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:44 +0530] "GET /ALM-ReleaseManagement/app/css/style.css HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:44 +0530] "GET /ALM-ReleaseManagement/app/js/controllers.js HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:44 +0530] "GET /ALM-ReleaseManagement/app/js/menu.js HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:44 +0530] "GET /ALM-ReleaseManagement/app/js/validator.js HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:44 +0530] "GET /ALM-ReleaseManagement/app/js/app.js HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [12/Dec/2014:14:41:56 +0530] "GET /ALM-ReleaseManagement/app/partials/newrelease.html HTTP/1.1" 200 5511
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:23:19 +0530] "GET /ALM-ReleaseManagement/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:23:19 +0530] "GET /ALM-ReleaseManagement/releasemanagement/homepage HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:23:19 +0530] "GET /ALM-ReleaseManagement/app/css/menu.css HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:23:19 +0530] "GET /ALM-ReleaseManagement/app/css/style.css HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:23:19 +0530] "GET /ALM-ReleaseManagement/app/js/menu.js HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:23:19 +0530] "GET /ALM-ReleaseManagement/app/js/app.js HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:23:19 +0530] "GET /ALM-ReleaseManagement/app/js/controllers.js HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [12/Dec/2014:15:23:19 +0530] "GET /ALM-ReleaseManagement/app/js/validator.js HTTP/1.1" 200 1488
